"Country","WebMeasureIndex","InfrastructureIndex","E-GovernmentReadinessIndex","Internet/100users","PC/100users","CellularSubscribers/100users","MainTelephoneLines/100users","Broadband/100users","AdultLiteracy","GrossEnrolment","EducationIndex"
"UnitedRepublicofTanzania",0.23,0.02,0.29,1,0.93,14.78,0.4,NA,69.4,50.41,0.63
"UnitedStates",0.95,0.67,0.86,69.1,76.22,77.4,57.15,19.31,99,93.32,0.97
"Uruguay",0.51,0.25,0.56,21.68,13.85,66.83,28.31,3.07,96.8,88.93,0.94
"Uzbekistan",0.27,0.04,0.41,6.3,3.08,2.71,6.74,0.03,99.4,73.85,0.91
"Vanuatu",0.03,0.02,0.25,3.46,1.38,5.85,3.21,0.03,74,63.43,0.7
"Venezuela",0.47,0.19,0.51,15.21,9.25,69.04,15.49,1.97,93,75.52,0.87
"VietNam",0.44,0.11,0.46,17.21,1.39,18.17,18.81,0.61,90.3,63.94,0.82
"Yemen",0.07,0.03,0.21,1.25,1.91,9.54,4.62,0,54.1,55.24,0.54
"Zambia",0,0.03,0.23,4.22,1.12,14.02,0.79,0.02,68,60.47,0.65
"Zimbabwe",0.09,0.05,0.3,9.32,6.61,6.36,2.54,0.08,89.4,52.42,0.77
